timestamp_us,seq,valid_mask,status_bits,solenoid_state,payload0_centi_psi,payload1_centi_psi,payload2_centi_psi,payload3_centi_psi,payload4_centi_psi,payload5_centi_psi,raw_adc0,raw_adc1,raw_adc2,raw_adc3,raw_adc4,raw_adc5
8904002,0,48,2,0,0,0,0,0,0,0,0,0,0,0,9,65533
8921227,1,32,2,0,0,0,0,0,0,0,0,0,0,0,9,0
8930168,2,32,2,0,0,0,0,0,0,0,0,0,0,0,9,0
8939121,3,32,2,0,0,0,0,0,0,0,0,0,0,0,9,0
8948074,4,32,2,0,0,0,0,0,0,0,0,0,0,0,9,0
8957027,5,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8967709,6,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8976662,7,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8985615,8,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8994568,9,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9003521,10,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9014204,11,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9023156,12,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9032109,13,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9041062,14,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9050015,15,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9060697,16,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9069650,17,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9078603,18,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9087556,19,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9096510,20,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9107191,21,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9116144,22,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9125097,23,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9134050,24,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9143003,25,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9153685,26,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9162638,27,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9171591,28,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9180544,29,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9189497,30,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9200180,31,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9209132,32,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9218085,33,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9227038,34,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9235991,35,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9246673,36,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9255626,37,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9264579,38,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9273532,39,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9282485,40,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9293168,41,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9302120,42,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9311073,43,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9320027,44,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9328979,45,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9339661,46,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9348614,47,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9357567,48,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9366520,49,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9375473,50,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9386156,51,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9395108,52,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9404061,53,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9413014,54,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9421967,55,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9432649,56,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9441602,57,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9450556,58,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9459508,59,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9468461,60,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9479143,61,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9488096,62,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9497049,63,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9506002,64,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9514955,65,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9525637,66,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9534590,67,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9543543,68,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9552496,69,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9561449,70,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9572132,71,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9581084,72,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9590037,73,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9598990,74,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9607943,75,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9618625,76,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9627578,77,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9636531,78,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9645484,79,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9654437,80,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9665120,81,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9674072,82,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9683025,83,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9691978,84,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9700931,85,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9711613,86,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9720567,87,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9729519,88,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9738472,89,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9747425,90,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9758108,91,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9767060,92,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9776013,93,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9784966,94,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9793919,95,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9804601,96,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9813554,97,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9822507,98,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9831460,99,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9840413,100,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9851096,101,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9860048,102,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9869001,103,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9877954,104,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9886907,105,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9897589,106,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9906542,107,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9915495,108,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9924448,109,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9933401,110,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9944083,111,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9953037,112,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9961990,113,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9970942,114,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9979895,115,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9990577,116,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9999530,117,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10008483,118,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0
